trade_id,order_id,fund_id,fund_isin,trade_date_time,security_id,isin,security_name,trade_type,quantity,execution_price,trade_amount,currency,broker_id,settlement_date,settlement_status
TRD000001,ORD000686,FUND001,LUPN4W31EP26,2023-01-02T00:00:00,SEC229651,US32TWD3L3J6,ETF 5% L3J6,SELL,896,359.2,321843.2,CAD,Brokerage B,2023-01-04,PENDING
TRD000002,ORD000971,FUND001,LUPN4W31EP26,2023-11-12T00:00:00,SEC933459,FR8WX85KOPT1,Mutual Fund Share 8% OPT1,SELL,833,430.46,358573.18,AUD,Brokerage D,2023-11-14,FAILED
TRD000003,ORD000051,FUND001,LUPN4W31EP26,2023-05-20T00:00:00,SEC748040,USDW5M9GE9A0,Mutual Fund Share 2% E9A0,BUY,1756,993.83,1745165.48,GBP,Brokerage B,2023-05-23,FAILED
TRD000004,ORD000997,FUND001,LUPN4W31EP26,2023-04-06T00:00:00,SEC288132,DE46XFD1K8G2,Bond 1% K8G2,BUY,1345,493.31,663501.95,GBP,Brokerage C,2023-04-08,PENDING
TRD000005,ORD000538,FUND001,LUPN4W31EP26,2023-07-03T00:00:00,SEC728934,FRZRCKKXMA06,Z Corp. MA06,SELL,1302,494.44,643760.88,CHF,Brokerage A,2023-07-06,FAILED
TRD000006,ORD001102,FUND001,LUPN4W31EP26,2023-04-07T00:00:00,SEC773108,FR1GE1SUW9O4,E Corp. W9O4,SELL,561,723.79,406046.19,JPY,Brokerage A,2023-04-09,PENDING
TRD000007,ORD000788,FUND001,LUPN4W31EP26,2023-03-14T00:00:00,SEC565894,USWLDTF1FPH8,ETF 9% FPH8,SELL,747,626.58,468055.26,USD,Brokerage B,2023-03-16,SETTLED
TRD000008,ORD000220,FUND001,LUPN4W31EP26,2023-02-27T00:00:00,SEC288132,DE46XFD1K8G2,Bond 1% K8G2,SELL,982,373.55,366826.1,GBP,Brokerage D,2023-03-01,PENDING
TRD000009,ORD000739,FUND001,LUPN4W31EP26,2023-01-23T00:00:00,SEC220314,DEJD6ACZEYM9,Mutual Fund Share 3% EYM9,SELL,1845,775.76,1431277.2,GBP,Brokerage A,2023-01-25,PENDING
TRD000010,ORD000925,FUND001,LUPN4W31EP26,2023-05-23T00:00:00,SEC806922,GBCY4UI4OVS1,Bond 1% OVS1,SELL,1915,746.87,1430256.05,USD,Brokerage B,2023-05-25,SETTLED
TRD000011,ORD000492,FUND001,LUPN4W31EP26,2023-11-27T00:00:00,SEC229651,US32TWD3L3J6,ETF 5% L3J6,BUY,607,458.54,278333.78,CAD,Brokerage C,2023-11-29,SETTLED
TRD000012,ORD000884,FUND001,LUPN4W31EP26,2023-06-04T00:00:00,SEC773108,FR1GE1SUW9O4,E Corp. W9O4,SELL,2045,157.59,322271.55,JPY,Brokerage B,2023-06-06,SETTLED
TRD000013,ORD000125,FUND001,LUPN4W31EP26,2023-06-12T00:00:00,SEC394339,DE03P8FDXFC7,Z Corp. XFC7,SELL,1989,767.78,1527114.42,CAD,Brokerage C,2023-06-14,SETTLED
TRD000014,ORD000060,FUND001,LUPN4W31EP26,2023-07-16T00:00:00,SEC229651,US32TWD3L3J6,ETF 5% L3J6,SELL,739,938.83,693795.37,CAD,Brokerage A,2023-07-19,SETTLED
TRD000015,ORD001029,FUND001,LUPN4W31EP26,2023-06-29T00:00:00,SEC366590,GB8D6PIK8AZ5,Mutual Fund Share 8% 8AZ5,SELL,1178,216.14,254612.92,EUR,Brokerage C,2023-07-02,PENDING
TRD000016,ORD000113,FUND001,LUPN4W31EP26,2023-11-09T00:00:00,SEC774622,GB1WSO4CV9B3,Bond 6% V9B3,BUY,922,889.1,819750.2,GBP,Brokerage B,2023-11-12,SETTLED
TRD000017,ORD000595,FUND001,LUPN4W31EP26,2023-05-30T00:00:00,SEC596089,GBPMVRZZ13G0,ETF 3% 13G0,SELL,521,913.47,475917.87,CHF,Brokerage A,2023-06-02,FAILED
TRD000018,ORD000239,FUND001,LUPN4W31EP26,2023-03-05T00:00:00,SEC909338,FR2USULM3BO7,C Corp. 3BO7,SELL,855,415.65,355380.75,GBP,Brokerage C,2023-03-07,FAILED
TRD000019,ORD000166,FUND001,LUPN4W31EP26,2023-01-15T00:00:00,SEC702850,USKZ0Y11RD22,Bond 4% RD22,BUY,2161,984.53,2127569.33,CHF,Brokerage D,2023-01-18,PENDING
TRD000020,ORD000651,FUND001,LUPN4W31EP26,2023-10-19T00:00:00,SEC261696,USRXMONXLCO2,Bond 3% LCO2,SELL,2238,698.84,1564003.92,EUR,Brokerage A,2023-10-21,SETTLED
TRD000021,ORD001052,FUND001,LUPN4W31EP26,2023-04-27T00:00:00,SEC263292,GB98KWM9NL02,Mutual Fund Share 6% NL02,SELL,429,763.22,327421.38,GBP,Brokerage A,2023-04-29,SETTLED
TRD000022,ORD000850,FUND001,LUPN4W31EP26,2023-05-07T00:00:00,SEC175711,FRUZYG5M8UV1,Bond 3% 8UV1,SELL,522,892.81,466046.82,JPY,Brokerage B,2023-05-10,FAILED
TRD000023,ORD000317,FUND001,LUPN4W31EP26,2023-12-12T00:00:00,SEC368623,US579V7725L7,Bond 7% 25L7,SELL,1819,782.87,1424040.53,CHF,Brokerage A,2023-12-15,SETTLED
TRD000024,ORD001032,FUND001,LUPN4W31EP26,2023-01-26T00:00:00,SEC748040,USDW5M9GE9A0,Mutual Fund Share 2% E9A0,BUY,2007,301.28,604668.96,GBP,Brokerage C,2023-01-28,PENDING
TRD000025,ORD000473,FUND001,LUPN4W31EP26,2023-01-20T00:00:00,SEC934395,N/A,Cash Balance JPY,SELL,1664,569.83,948197.12,USD,Brokerage C,2023-01-23,PENDING
TRD000026,ORD000279,FUND001,LUPN4W31EP26,2023-07-29T00:00:00,SEC728934,FRZRCKKXMA06,Z Corp. MA06,SELL,437,485.31,212080.47,CHF,Brokerage A,2023-08-01,SETTLED
TRD000027,ORD000907,FUND001,LUPN4W31EP26,2023-07-31T00:00:00,SEC521392,USZXC9FTY6R0,U Corp. Y6R0,SELL,2314,810.29,1875011.06,CAD,Brokerage B,2023-08-03,PENDING
TRD000028,ORD000719,FUND001,LUPN4W31EP26,2023-11-23T00:00:00,SEC738500,GB4DA9TWTGO3,ETF 4% TGO3,SELL,2113,769.18,1625277.34,AUD,Brokerage B,2023-11-26,SETTLED
TRD000029,ORD000290,FUND001,LUPN4W31EP26,2023-06-11T00:00:00,SEC280690,N/A,Cash Balance USD,SELL,2366,203.76,482096.16,AUD,Brokerage C,2023-06-13,FAILED
TRD000030,ORD000107,FUND001,LUPN4W31EP26,2023-01-13T00:00:00,SEC109090,DE365NM44B90,E Corp. 4B90,SELL,127,85.13,10811.51,CAD,Brokerage C,2023-01-16,SETTLED
TRD000031,ORD001157,FUND001,LUPN4W31EP26,2023-02-08T00:00:00,SEC790217,USGNNPYS6KD6,Mutual Fund Share 10% 6KD6,SELL,574,831.97,477550.78,AUD,Brokerage C,2023-02-11,SETTLED
TRD000032,ORD000068,FUND001,LUPN4W31EP26,2023-01-02T00:00:00,SEC175711,FRUZYG5M8UV1,Bond 3% 8UV1,BUY,1143,703.15,803700.45,JPY,Brokerage B,2023-01-04,PENDING
TRD000033,ORD000691,FUND001,LUPN4W31EP26,2023-02-08T00:00:00,SEC596089,GBPMVRZZ13G0,ETF 3% 13G0,SELL,1374,59.69,82014.06,CHF,Brokerage B,2023-02-10,PENDING
TRD000034,ORD000353,FUND001,LUPN4W31EP26,2023-10-08T00:00:00,SEC261696,USRXMONXLCO2,Bond 3% LCO2,BUY,1712,306.1,524043.2,EUR,Brokerage C,2023-10-10,SETTLED
TRD000035,ORD001072,FUND001,LUPN4W31EP26,2023-11-08T00:00:00,SEC368623,US579V7725L7,Bond 7% 25L7,BUY,104,423.57,44051.28,CHF,Brokerage D,2023-11-11,PENDING
TRD000036,ORD000294,FUND001,LUPN4W31EP26,2023-05-29T00:00:00,SEC728934,FRZRCKKXMA06,Z Corp. MA06,BUY,1114,841.62,937564.68,CHF,Brokerage D,2023-06-01,PENDING
TRD000037,ORD000518,FUND001,LUPN4W31EP26,2023-05-27T00:00:00,SEC368623,US579V7725L7,Bond 7% 25L7,BUY,1813,690.48,1251840.24,CHF,Brokerage C,2023-05-29,SETTLED
TRD000038,ORD000976,FUND001,LUPN4W31EP26,2023-03-28T00:00:00,SEC773108,FR1GE1SUW9O4,E Corp. W9O4,BUY,1664,725.41,1207082.24,JPY,Brokerage D,2023-03-31,PENDING
TRD000039,ORD000432,FUND001,LUPN4W31EP26,2023-11-01T00:00:00,SEC875114,N/A,Cash Balance GBP,BUY,1523,621.65,946772.95,EUR,Brokerage A,2023-11-03,FAILED
TRD000040,ORD000279,FUND001,LUPN4W31EP26,2023-02-05T00:00:00,SEC748040,USDW5M9GE9A0,Mutual Fund Share 2% E9A0,SELL,1041,709.93,739037.13,GBP,Brokerage A,2023-02-08,PENDING
TRD000041,ORD000083,FUND001,LUPN4W31EP26,2023-01-08T00:00:00,SEC263292,GB98KWM9NL02,Mutual Fund Share 6% NL02,SELL,529,169.34,89580.86,GBP,Brokerage C,2023-01-11,SETTLED
TRD000042,ORD000981,FUND001,LUPN4W31EP26,2023-03-18T00:00:00,SEC806922,GBCY4UI4OVS1,Bond 1% OVS1,BUY,458,245.66,112512.28,USD,Brokerage D,2023-03-21,SETTLED
TRD000043,ORD000492,FUND001,LUPN4W31EP26,2023-12-04T00:00:00,SEC710615,US7ZYUHM9A70,Y Corp. 9A70,BUY,774,346.34,268067.16,CHF,Brokerage B,2023-12-07,PENDING
TRD000044,ORD000878,FUND001,LUPN4W31EP26,2023-04-23T00:00:00,SEC809575,USKHO6SKP000,Mutual Fund Share 1% P000,SELL,935,788.65,737387.75,GBP,Brokerage D,2023-04-26,PENDING
TRD000045,ORD000927,FUND001,LUPN4W31EP26,2023-11-15T00:00:00,SEC368623,US579V7725L7,Bond 7% 25L7,SELL,621,315.19,195732.99,CHF,Brokerage A,2023-11-17,PENDING
TRD000046,ORD001071,FUND001,LUPN4W31EP26,2023-11-25T00:00:00,SEC395565,N/A,Cash Balance USD,SELL,1350,576.21,777883.5,GBP,Brokerage D,2023-11-27,PENDING
TRD000047,ORD000716,FUND001,LUPN4W31EP26,2023-05-11T00:00:00,SEC868990,US3U8FFWXKF9,Mutual Fund Share 7% XKF9,BUY,2471,945.39,2336058.69,CHF,Brokerage B,2023-05-13,SETTLED
TRD000048,ORD000714,FUND001,LUPN4W31EP26,2023-10-10T00:00:00,SEC818050,FRSQYYK0YEQ8,ETF 1% YEQ8,BUY,845,248.96,210371.2,USD,Brokerage D,2023-10-12,PENDING
TRD000049,ORD000906,FUND001,LUPN4W31EP26,2023-03-11T00:00:00,SEC728155,USYR6ISTDWK1,Bond 4% DWK1,SELL,1861,624.9,1162938.9,CHF,Brokerage C,2023-03-14,SETTLED
TRD000050,ORD001131,FUND001,LUPN4W31EP26,2023-12-30T00:00:00,SEC702850,USKZ0Y11RD22,Bond 4% RD22,SELL,1311,109.48,143528.28,CHF,Brokerage B,2024-01-01,PENDING
TRD000051,ORD001141,FUND001,LUPN4W31EP26,2023-06-24T00:00:00,SEC875114,N/A,Cash Balance GBP,SELL,2050,647.02,1326391.0,EUR,Brokerage D,2023-06-26,PENDING
TRD000052,ORD000953,FUND001,LUPN4W31EP26,2023-07-17T00:00:00,SEC710615,US7ZYUHM9A70,Y Corp. 9A70,BUY,1389,120.64,167568.96,CHF,Brokerage D,2023-07-20,PENDING
