transaction_id,fund_id,fund_isin,fund_type,transaction_date,isin,security_name,asset_class,transaction_type,quantity,price_per_share,gross_amount,net_amount,currency,transaction_fee,ta_account_id,shareholder_id,distributor_id,representative_id,settlement_date,payment_method
TRN00001,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-03,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SWITCH_OUT,2149.9665,127.31,273712.24,273894.9,CHF,182.66,TAACC00001,SH00001,DIST002,REP0037,2023-01-04,BANK_TRANSFER
TRN00002,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-05,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SWITCH_OUT,3080.6837,290.97,896386.54,896908.98,CHF,522.44,TAACC00065,SH00065,DIST006,REP0019,2023-01-07,BANK_TRANSFER
TRN00003,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-09,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_REINVEST,8826.0055,279.93,2470663.72,2470086.24,CHF,577.48,TAACC00100,SH00100,DIST006,REP0002,2023-01-10,CHEQUE
TRN00004,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-12,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,REDEMPTION,4422.9147,374.99,1658548.78,1658857.55,CHF,308.77,TAACC00035,SH00035,DIST010,REP0041,2023-01-14,BANK_TRANSFER
TRN00005,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-14,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SWITCH_IN,4066.0924,230.38,936746.37,936043.13,CHF,703.24,TAACC00028,SH00028,DIST010,REP0011,2023-01-15,CHEQUE
TRN00006,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-16,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SWITCH_OUT,1224.3276,480.45,588228.2,588583.67,CHF,355.47,TAACC00061,SH00061,DIST007,REP0036,2023-01-18,OTHER
TRN00007,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-18,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SWITCH_IN,1962.3601,435.82,855235.78,854921.54,CHF,314.24,TAACC00068,SH00068,DIST005,REP0042,2023-01-21,CHEQUE
TRN00008,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-19,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SWITCH_IN,8777.9802,367.83,3228804.46,3228316.08,CHF,488.38,TAACC00008,SH00008,DIST009,REP0025,2023-01-22,BANK_TRANSFER
TRN00009,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-21,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_REINVEST,6019.1622,369.13,2221853.34,2219718.86,CHF,2134.48,TAACC00030,SH00030,DIST007,REP0004,2023-01-23,CHEQUE
TRN00010,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-26,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,REDEMPTION,2675.7005,27.01,72270.67,72279.89,CHF,9.22,TAACC00046,SH00046,DIST003,REP0032,2023-01-29,BANK_TRANSFER
